oi_id,quantity,datetime,product_name,product_price
174,2,2019-08-02 18:41:00,Mushroom Rice,3.95
175,1,2019-08-02 18:41:00,Garlic Naan,2.95
176,1,2019-08-02 18:41:00,Keema Naan,2.95
177,1,2019-08-02 18:41:00,Peshwari Naan,2.95
178,10,2019-08-02 18:41:00,Plain Papadum,0.8
179,2,2019-08-02 18:41:00,Spicy Papadum,0.8
180,2,2019-08-02 18:41:00,Mango Chutney,0.5
181,6,2019-08-02 18:41:00,Onion Chutney,0.5
182,4,2019-08-02 18:41:00,Red Sauce,0.5
183,2,2019-08-02 18:41:00,Mint Sauce,0.5
184,1,2019-08-02 18:18:00,Vindaloo - Chicken,7.95
185,1,2019-08-02 18:18:00,Madras - Chicken Tikka,7.95
186,2,2019-08-02 18:18:00,Plain Rice,2.95
187,2,2019-08-02 18:18:00,Plain Naan,2.6
188,1,2019-08-02 18:18:00,Madras - Chicken,7.95
189,4,2019-08-02 18:18:00,Plain Papadum,0.8
190,1,2019-08-02 18:18:00,Bombay Aloo,5.95
191,1,2019-08-02 17:57:00,Chicken Tikka Jalfrezi,8.95
192,1,2019-08-02 17:57:00,Pilau Rice,2.95
193,2,2019-08-02 17:57:00,Plain Papadum,0.8
194,1,2019-08-02 17:57:00,Spicy Papadum,0.8
195,1,2019-08-02 17:57:00,Vindaloo Sauce,3.95
196,1,2019-08-02 17:43:00,Onion Bhajee,3.95
197,1,2019-08-02 17:43:00,Mango Chutney,0.5
198,1,2019-08-02 17:43:00,Meat Samosa,3.95
199,1,2019-08-02 17:43:00,Chicken Pakora,5.95
200,1,2019-08-02 17:43:00,Lamb Biryani,9.95
201,1,2019-08-02 17:43:00,Chicken Biryani,9.95
202,1,2019-08-02 17:43:00,Chicken Tikka Biryani,10.95
203,1,2019-08-02 17:43:00,Aloo Gobi,5.95
204,1,2019-08-02 17:26:00,Chicken Tikka Jalfrezi,8.95
205,1,2019-08-02 17:26:00,Bombay Aloo,5.95
206,1,2019-08-02 17:26:00,Chana Masala,5.95
207,1,2019-08-02 17:26:00,Dupiaza - Chicken,8.95
208,1,2019-08-02 17:26:00,Keema Naan,2.95
209,1,2019-08-02 17:26:00,Pilau Rice,2.95
210,1,2019-08-02 17:26:00,Mushroom Rice,3.95
211,1,2019-08-02 14:11:00,Muttar Paneer,5.95
212,1,2019-08-02 14:11:00,Garlic Naan,2.95
213,1,2019-08-02 14:11:00,Mushroom Rice,3.95
214,1,2019-08-02 14:11:00,Plain Naan,2.6
215,2,2019-08-02 11:35:00,Chicken Tikka (Main),8.95
216,1,2019-08-02 11:35:00,Tandoori Mixed Grill,11.95
217,1,2019-08-02 11:35:00,Chicken Tikka Masala,8.95
218,1,2019-08-02 11:35:00,Curry - Chicken,7.95
219,2,2019-08-02 11:35:00,Bombay Aloo,5.95
220,1,2019-08-02 11:35:00,Muttar Paneer,5.95
221,4,2019-08-02 11:35:00,Plain Naan,2.6
222,4,2019-08-02 11:35:00,Pilau Rice,2.95
223,1,2019-08-02 11:35:00,Keema Rice,3.95
224,1,2019-08-02 11:35:00,Aloo Chaat,4.95
225,1,2019-08-02 11:35:00,Chicken Balti,9.95
226,1,2019-08-02 11:35:00,Chicken Shashlick,9.95
227,1,2019-08-02 11:35:00,Vegetable Balti,9.95
228,1,2019-08-02 11:35:00,Cauliflower Bhajee,5.95
229,1,2019-08-02 11:35:00,Vindaloo - Chicken,7.95
230,1,2019-08-01 20:42:00,Butter Chicken,9.95
231,1,2019-08-01 20:42:00,Prawn Balti,10.95
232,1,2019-08-01 19:51:00,Tandoori Chicken Masala,8.95
233,1,2019-08-01 19:51:00,Curry - Chicken,7.95
234,1,2019-08-01 19:51:00,Aloo Gobi,5.95
235,1,2019-08-01 19:51:00,Plain Naan,2.6
236,1,2019-08-01 19:51:00,Pilau Rice,2.95
237,1,2019-08-01 19:51:00,Plain Papadum,0.8
238,1,2019-08-01 19:51:00,Red Sauce,0.5
239,1,2019-08-01 19:51:00,Mango Chutney,0.5
240,1,2019-08-01 19:51:00,Mixed Starter,5.95
241,1,2019-08-01 19:16:00,Madras - Lamb,7.95
242,1,2019-08-01 19:16:00,Mushroom Rice,3.95
243,1,2019-08-01 19:16:00,French Fries,3.95
244,2,2019-08-01 19:16:00,Korma - Chicken,8.95
245,1,2019-08-01 19:16:00,Plain Naan,2.6
246,1,2019-08-01 19:16:00,Garlic Naan,2.95
247,4,2019-08-01 18:45:00,Plain Papadum,0.8
248,2,2019-08-01 18:45:00,Pathia - Chicken Tikka,8.95
249,1,2019-08-01 18:45:00,COBRA ( LARGE ),5.95
250,1,2019-08-01 18:45:00,House white wine 75cl,17.95
251,2,2019-08-01 18:45:00,Pilau Rice,2.95
252,1,2019-08-01 18:41:00,Lamb Tikka,4.95
253,1,2019-08-01 18:41:00,Lime Pickle,0.5
254,1,2019-08-01 18:41:00,Onion Chutney,0.5
255,1,2019-08-01 18:41:00,Plain Rice,2.95
256,1,2019-08-01 18:41:00,King Prawn Shaslick,12.95
257,2,2019-08-01 18:41:00,COBRA ( LARGE ),5.95
258,1,2019-08-01 18:21:00,Chicken Tikka Biryani,10.95
259,1,2019-08-01 18:21:00,Stuffed Paratha,3.95
260,1,2019-08-01 18:21:00,Meat Samosa,3.95
261,1,2019-08-01 18:02:00,Plain Rice,2.95
262,2,2019-08-01 18:02:00,Plain Naan,2.6
263,1,2019-08-01 18:02:00,Mixed Vegetable Curry,5.95
264,1,2019-08-01 18:02:00,Aloo Gobi,5.95
265,1,2019-08-01 18:02:00,Curry Sauce,3.95
266,1,2019-08-01 18:02:00,Mango Chutney,0.5
267,1,2019-08-01 18:02:00,Raitha,2.95
268,1,2019-08-01 17:59:00,Madras - Chicken,7.95
269,1,2019-08-01 17:59:00,Plain Naan,2.6
270,1,2019-08-01 17:59:00,Bottle Diet Coke,2.95
271,1,2019-08-01 17:59:00,Plain Rice,2.95
272,1,2019-08-01 17:34:00,Bombay Aloo,5.95
273,1,2019-08-01 17:34:00,Chicken Tikka Jalfrezi,8.95
274,1,2019-08-01 17:34:00,Mushroom Rice,3.95
275,2,2019-08-01 17:34:00,Plain Papadum,0.8
