id,datetime,name,quantity,price
149,2019-08-02 20:18:00,Plain Naan,1,2.6
150,2019-08-02 20:18:00,Pilau Rice,1,2.95
151,2019-08-02 19:33:00,Aloo Chaat,1,4.95
152,2019-08-02 19:33:00,Chicken Tikka Masala,1,8.95
153,2019-08-02 19:33:00,Garlic Naan,1,2.95
154,2019-08-02 19:33:00,Pilau Rice,1,2.95
155,2019-08-02 19:33:00,Bhuna - Chicken,1,8.95
156,2019-08-02 19:19:00,Plain Papadum,3,0.8
157,2019-08-02 19:19:00,Lemon Rice,1,3.95
158,2019-08-02 19:19:00,Lamb Mysore,1,9.95
159,2019-08-02 19:19:00,Dhansak - Chicken,1,8.95
160,2019-08-02 19:19:00,Chapati,1,1.95
161,2019-08-02 19:14:00,Lamb Biryani,2,9.95
162,2019-08-02 19:14:00,Peshwari Naan,1,2.95
163,2019-08-02 18:41:00,Onion Bhajee,1,3.95
164,2019-08-02 18:41:00,Aloo Gobi,1,5.95
165,2019-08-02 18:41:00,Chicken Biryani,1,9.95
166,2019-08-02 18:41:00,Madras - Chicken,1,7.95
167,2019-08-02 18:41:00,Korma - Chicken,1,8.95
168,2019-08-02 18:41:00,Chicken Balti,1,9.95
169,2019-08-02 18:41:00,Chicken Tikka Chilli Masala,1,8.95
170,2019-08-02 18:41:00,Lal Mirch Chicken,1,9.95
171,2019-08-02 18:41:00,Korma - Prawn,1,9.95
172,2019-08-02 18:41:00,Korma - King Prawn,1,12.95
173,2019-08-02 18:41:00,Plain Rice,1,2.95
174,2019-08-02 18:41:00,Mushroom Rice,2,3.95
175,2019-08-02 18:41:00,Garlic Naan,1,2.95
176,2019-08-02 18:41:00,Keema Naan,1,2.95
177,2019-08-02 18:41:00,Peshwari Naan,1,2.95
178,2019-08-02 18:41:00,Plain Papadum,10,0.8
179,2019-08-02 18:41:00,Spicy Papadum,2,0.8
180,2019-08-02 18:41:00,Mango Chutney,2,0.5
181,2019-08-02 18:41:00,Onion Chutney,6,0.5
182,2019-08-02 18:41:00,Red Sauce,4,0.5
183,2019-08-02 18:41:00,Mint Sauce,2,0.5
184,2019-08-02 18:18:00,Vindaloo - Chicken,1,7.95
185,2019-08-02 18:18:00,Madras - Chicken Tikka,1,7.95
186,2019-08-02 18:18:00,Plain Rice,2,2.95
187,2019-08-02 18:18:00,Plain Naan,2,2.6
188,2019-08-02 18:18:00,Madras - Chicken,1,7.95
189,2019-08-02 18:18:00,Plain Papadum,4,0.8
190,2019-08-02 18:18:00,Bombay Aloo,1,5.95
191,2019-08-02 17:57:00,Chicken Tikka Jalfrezi,1,8.95
192,2019-08-02 17:57:00,Pilau Rice,1,2.95
193,2019-08-02 17:57:00,Plain Papadum,2,0.8
194,2019-08-02 17:57:00,Spicy Papadum,1,0.8
195,2019-08-02 17:57:00,Vindaloo Sauce,1,3.95
196,2019-08-02 17:43:00,Onion Bhajee,1,3.95
197,2019-08-02 17:43:00,Mango Chutney,1,0.5
198,2019-08-02 17:43:00,Meat Samosa,1,3.95
199,2019-08-02 17:43:00,Chicken Pakora,1,5.95
200,2019-08-02 17:43:00,Lamb Biryani,1,9.95
201,2019-08-02 17:43:00,Chicken Biryani,1,9.95
202,2019-08-02 17:43:00,Chicken Tikka Biryani,1,10.95
203,2019-08-02 17:43:00,Aloo Gobi,1,5.95
204,2019-08-02 17:26:00,Chicken Tikka Jalfrezi,1,8.95
205,2019-08-02 17:26:00,Bombay Aloo,1,5.95
206,2019-08-02 17:26:00,Chana Masala,1,5.95
207,2019-08-02 17:26:00,Dupiaza - Chicken,1,8.95
208,2019-08-02 17:26:00,Keema Naan,1,2.95
209,2019-08-02 17:26:00,Pilau Rice,1,2.95
210,2019-08-02 17:26:00,Mushroom Rice,1,3.95
211,2019-08-02 14:11:00,Muttar Paneer,1,5.95
212,2019-08-02 14:11:00,Garlic Naan,1,2.95
213,2019-08-02 14:11:00,Mushroom Rice,1,3.95
214,2019-08-02 14:11:00,Plain Naan,1,2.6
215,2019-08-02 11:35:00,Chicken Tikka (Main),2,8.95
216,2019-08-02 11:35:00,Tandoori Mixed Grill,1,11.95
217,2019-08-02 11:35:00,Chicken Tikka Masala,1,8.95
218,2019-08-02 11:35:00,Curry - Chicken,1,7.95
219,2019-08-02 11:35:00,Bombay Aloo,2,5.95
220,2019-08-02 11:35:00,Muttar Paneer,1,5.95
221,2019-08-02 11:35:00,Plain Naan,4,2.6
222,2019-08-02 11:35:00,Pilau Rice,4,2.95
223,2019-08-02 11:35:00,Keema Rice,1,3.95
224,2019-08-02 11:35:00,Aloo Chaat,1,4.95
225,2019-08-02 11:35:00,Chicken Balti,1,9.95
226,2019-08-02 11:35:00,Chicken Shashlick,1,9.95
227,2019-08-02 11:35:00,Vegetable Balti,1,9.95
228,2019-08-02 11:35:00,Cauliflower Bhajee,1,5.95
229,2019-08-02 11:35:00,Vindaloo - Chicken,1,7.95
230,2019-08-01 20:42:00,Butter Chicken,1,9.95
231,2019-08-01 20:42:00,Prawn Balti,1,10.95
232,2019-08-01 19:51:00,Tandoori Chicken Masala,1,8.95
233,2019-08-01 19:51:00,Curry - Chicken,1,7.95
234,2019-08-01 19:51:00,Aloo Gobi,1,5.95
235,2019-08-01 19:51:00,Plain Naan,1,2.6
236,2019-08-01 19:51:00,Pilau Rice,1,2.95
237,2019-08-01 19:51:00,Plain Papadum,1,0.8
238,2019-08-01 19:51:00,Red Sauce,1,0.5
239,2019-08-01 19:51:00,Mango Chutney,1,0.5
240,2019-08-01 19:51:00,Mixed Starter,1,5.95
241,2019-08-01 19:16:00,Madras - Lamb,1,7.95
242,2019-08-01 19:16:00,Mushroom Rice,1,3.95
243,2019-08-01 19:16:00,French Fries,1,3.95
244,2019-08-01 19:16:00,Korma - Chicken,2,8.95
245,2019-08-01 19:16:00,Plain Naan,1,2.6
246,2019-08-01 19:16:00,Garlic Naan,1,2.95
247,2019-08-01 18:45:00,Plain Papadum,4,0.8
248,2019-08-01 18:45:00,Pathia - Chicken Tikka,2,8.95
249,2019-08-01 18:45:00,COBRA ( LARGE ),1,5.95
250,2019-08-01 18:45:00,House white wine 75cl,1,17.95
251,2019-08-01 18:45:00,Pilau Rice,2,2.95
252,2019-08-01 18:41:00,Lamb Tikka,1,4.95
253,2019-08-01 18:41:00,Lime Pickle,1,0.5
254,2019-08-01 18:41:00,Onion Chutney,1,0.5
255,2019-08-01 18:41:00,Plain Rice,1,2.95
256,2019-08-01 18:41:00,King Prawn Shaslick,1,12.95
257,2019-08-01 18:41:00,COBRA ( LARGE ),2,5.95
258,2019-08-01 18:21:00,Chicken Tikka Biryani,1,10.95
259,2019-08-01 18:21:00,Stuffed Paratha,1,3.95
260,2019-08-01 18:21:00,Meat Samosa,1,3.95
261,2019-08-01 18:02:00,Plain Rice,1,2.95
262,2019-08-01 18:02:00,Plain Naan,2,2.6
263,2019-08-01 18:02:00,Mixed Vegetable Curry,1,5.95
264,2019-08-01 18:02:00,Aloo Gobi,1,5.95
265,2019-08-01 18:02:00,Curry Sauce,1,3.95
266,2019-08-01 18:02:00,Mango Chutney,1,0.5
267,2019-08-01 18:02:00,Raitha,1,2.95
268,2019-08-01 17:59:00,Madras - Chicken,1,7.95
269,2019-08-01 17:59:00,Plain Naan,1,2.6
270,2019-08-01 17:59:00,Bottle Diet Coke,1,2.95
271,2019-08-01 17:59:00,Plain Rice,1,2.95
272,2019-08-01 17:34:00,Bombay Aloo,1,5.95
273,2019-08-01 17:34:00,Chicken Tikka Jalfrezi,1,8.95
274,2019-08-01 17:34:00,Mushroom Rice,1,3.95
275,2019-08-01 17:34:00,Plain Papadum,2,0.8
276,2019-08-01 13:33:00,Cauliflower Bhajee,1,5.95
277,2019-08-01 13:33:00,Dhansak - Chicken,1,8.95
278,2019-08-01 13:33:00,Tarka Dall,2,5.95
279,2019-08-01 13:33:00,Saag Dall,1,5.95
280,2019-08-01 12:33:00,Vindaloo - Chicken,2,7.95
281,2019-08-01 12:33:00,Special Fried Rice,1,3.95
282,2019-08-01 12:33:00,Plain Naan,1,2.6
283,2019-08-01 12:33:00,Bombay Aloo,1,5.95
284,2019-07-31 21:10:00,Lamb Biryani,1,9.95
285,2019-07-31 21:10:00,Chicken Biryani,1,9.95
286,2019-07-31 21:10:00,Bombay Aloo,1,5.95
287,2019-07-31 21:10:00,Peshwari Naan,1,2.95
288,2019-07-31 20:35:00,Dhansak - Lamb,1,8.95
289,2019-07-31 20:35:00,Korma - Chicken,1,8.95
290,2019-07-31 20:35:00,Plain Naan,1,2.6
291,2019-07-31 20:35:00,Pilau Rice,1,2.95
292,2019-07-31 20:11:00,Pilau Rice,2,2.95
293,2019-07-31 20:11:00,Chicken Tikka Masala,2,8.95
294,2019-07-31 20:11:00,Madras - Chicken Tikka,1,7.95
295,2019-07-31 20:11:00,Onion Bhajee,2,3.95
296,2019-07-31 20:05:00,Chicken Tikka Jalfrezi,1,8.95
297,2019-07-31 20:05:00,Pilau Rice,1,2.95
298,2019-07-31 20:05:00,Plain Naan,1,2.6
299,2019-07-31 20:05:00,Green Salad,1,2.95
300,2019-07-31 19:54:00,Sheek Kebab,1,4.95
301,2019-07-31 19:54:00,Vegetable Biryani,1,9.95
302,2019-07-31 19:54:00,Aloo Chaat,1,4.95
303,2019-07-31 19:54:00,Madras - King Prawn,1,11.95
304,2019-07-31 19:54:00,Pilau Rice,2,2.95
305,2019-07-31 19:54:00,Butter Chicken,1,9.95
306,2019-07-31 19:54:00,Plain Papadum,1,0.8
307,2019-07-31 19:35:00,Chicken Tikka Masala,1,8.95
308,2019-07-31 19:35:00,Plain Naan,5,2.6
309,2019-07-31 19:35:00,Rogon - Chicken,1,8.95
310,2019-07-31 19:35:00,Chicken Tikka (Main),1,8.95
311,2019-07-31 19:35:00,Madras - Chicken Tikka,2,7.95
312,2019-07-31 19:35:00,Garlic Naan,1,2.95
313,2019-07-31 19:35:00,Bombay Aloo,1,5.95
314,2019-07-31 19:35:00,Saag Aloo,1,5.95
315,2019-07-31 19:35:00,French Fries,1,3.95
316,2019-07-31 19:35:00,Pilau Rice,2,2.95
317,2019-07-31 19:35:00,Onion Bhajee,3,3.95
318,2019-07-31 19:31:00,Plain Papadum,4,0.8
319,2019-07-31 19:31:00,Mint Sauce,1,0.5
320,2019-07-31 19:31:00,Chicken Tikka Karahi,1,9.95
321,2019-07-31 19:31:00,Mushroom Bhajee,1,5.95
322,2019-07-31 19:31:00,Plain Rice,2,2.95
323,2019-07-31 19:17:00,Chicken Tikka,1,3.95
324,2019-07-31 19:17:00,Royal Paneer,1,5.95
325,2019-07-31 19:17:00,Garlic Naan,1,2.95
326,2019-07-31 19:17:00,Bottle Diet Coke,1,2.95
327,2019-07-31 19:05:00,Korma - Chicken,1,8.95
328,2019-07-31 19:05:00,Peshwari Naan,1,2.95
329,2019-07-31 19:05:00,Lemon Rice,1,3.95
330,2019-07-31 19:05:00,Mushroom Rice,1,3.95
331,2019-07-31 19:05:00,Lamb Sylhet,1,9.95
332,2019-07-31 19:02:00,Spicy Papadum,2,0.8
333,2019-07-31 19:02:00,Red Sauce,1,0.5
334,2019-07-31 19:02:00,Plain Rice,1,2.95
335,2019-07-31 19:02:00,Dupiaza - Chicken Tikka,1,8.95
336,2019-07-31 19:02:00,Chapati,1,1.95
337,2019-07-31 18:58:00,Saag - Chicken,1,8.95
338,2019-07-31 18:58:00,Saag Paneer,1,5.95
339,2019-07-31 18:58:00,Saag Rice,1,3.95
340,2019-07-31 18:50:00,Sheek Kebab,1,4.95
341,2019-07-31 18:50:00,Plain Papadum,3,0.8
342,2019-07-31 18:50:00,Lamb Tikka Masala,1,8.95
343,2019-07-31 18:50:00,Pilau Rice,1,2.95
344,2019-07-31 18:50:00,Keema Naan,1,2.95
345,2019-07-31 18:50:00,French Fries,1,3.95
346,2019-07-31 17:16:00,Keema Rice,1,3.95
347,2019-07-31 17:16:00,Bombay Aloo,1,5.95
348,2019-07-31 17:16:00,Madras - Lamb,1,7.95
349,2019-07-31 13:55:00,Lamb Biryani,1,9.95
350,2019-07-31 13:55:00,Lamb Tikka Chilli Masala,1,8.95
351,2019-07-31 13:55:00,Garlic Naan,1,2.95
352,2019-07-30 21:05:00,Paneer Tikka Sizzler,1,9.95
353,2019-07-30 21:05:00,Vindaloo Sauce,1,3.95
354,2019-07-30 21:05:00,Plain Rice,1,2.95
355,2019-07-30 21:05:00,French Fries,1,3.95
356,2019-07-30 20:10:00,Chicken Mysore,1,9.95
357,2019-07-30 20:10:00,Garlic Naan,3,2.95
358,2019-07-30 20:10:00,Lamb Chilli Garlic,1,9.95
359,2019-07-30 19:55:00,Aloo Chaat,1,4.95
360,2019-07-30 19:55:00,Tandoori Mixed Grill,1,11.95
361,2019-07-30 19:55:00,Tandoori Roti,1,2.6
362,2019-07-30 18:43:00,King Prawn Puree,1,5.95
363,2019-07-30 18:43:00,Plain Papadum,1,0.8
364,2019-07-30 18:43:00,Chicken Shashlick,1,9.95
365,2019-07-30 18:43:00,Bhindi Bhajee,1,5.95
366,2019-07-30 18:43:00,Dhansak Sauce,1,3.95
367,2019-07-30 18:43:00,Onion Bhajee,2,3.95
